Event Name,Event Type,Event Value,Event Timestamp,Event Page Source,Event Page URL,Event Component ID,User ID,Event Date
Login,Authentication,Success,01-01-2024 08:12,Homepage,www.example.com,login_button,user123,01-01-2024
Signup,Authentication,Success,02-01-2024 10:23,Registration Page,www.example.com/register,signup_button,user456,02-01-2024
Click,Interaction,1,03-01-2024 14:56,Product Page,www.example.com/product123,product_image,user789,03-01-2024
Purchase,Transaction,50,04-01-2024 16:45,Checkout Page,www.example.com/checkout,checkout_button,user123,04-01-2024
Logout,Authentication,Success,05-01-2024 20:30,Homepage,www.example.com,logout_button,user456,05-01-2024
Login,Authentication,Success,01-01-2023 08:12,Homepage,www.example.com,login_button,user123,01-01-2023
Signup,Authentication,Success,02-01-2023 10:23,Registration Page,www.example.com/register,signup_button,user456,02-01-2023
Click,Interaction,1,03-01-2023 14:56,Product Page,www.example.com/product123,product_image,user789,03-01-2023
Purchase,Transaction,50,04-01-2023 16:45,Checkout Page,www.example.com/checkout,checkout_button,user123,04-01-2023
Logout,Authentication,Success,05-01-2023 20:30,Homepage,www.example.com,logout_button,user456,05-01-2023
Review,Interaction,5,25-04-2023 13:45,Product Page,www.example.com/product789,review_button,user123,25-04-2023
Click,Interaction,1,26-04-2023 17:32,Homepage,www.example.com,navigation_menu,user456,26-04-2023
Purchase,Transaction,75,27-04-2023 19:28,Checkout Page,www.example.com/checkout,checkout_button,user789,27-04-2023
Login,Authentication,Success,28-04-2023 21:15,Homepage,www.example.com,login_button,user123,28-04-2023
Login,Authentication,Success,29-04-2023 09:45,Homepage,www.example.com,login_button,user456,29-04-2023
Signup,Authentication,Success,30-04-2023 11:23,Registration Page,www.example.com/register,signup_button,user789,30-04-2023
Click,Interaction,1,01-05-2023 14:32,Product Page,www.example.com/product123,product_image,user123,01-05-2023
Purchase,Transaction,50,02-05-2023 16:58,Checkout Page,www.example.com/checkout,checkout_button,user456,02-05-2023
Logout,Authentication,Success,03-05-2023 19:10,Homepage,www.example.com,logout_button,user789,03-05-2023
Click,Interaction,1,29-12-2023 10:24,Homepage,www.example.com,navigation_menu,user123,29-12-2023
Purchase,Transaction,120,30-12-2023 12:45,Checkout Page,www.example.com/checkout,checkout_button,user456,30-12-2023
Logout,Authentication,Success,31-12-2023 15:30,Homepage,www.example.com,logout_button,user789,31-12-2023
Login,Authentication,Success,31-12-2023 18:12,Homepage,www.example.com,login_button,user123,31-12-2023
Signup,Authentication,Success,01-01-2024 09:23,Registration Page,www.example.com/register,signup_button,user456,01-01-2024
Click,Interaction,1,02-01-2024 12:56,Product Page,www.example.com/product123,product_image,user789,02-01-2024
Purchase,Transaction,50,03-01-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user123,03-01-2024
Logout,Authentication,Success,04-01-2024 18:30,Homepage,www.example.com,logout_button,user456,04-01-2024
Click,Interaction,1,28-04-2024 13:24,Homepage,www.example.com,navigation_menu,user123,28-04-2024
Purchase,Transaction,120,29-04-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user456,29-04-2024
Logout,Authentication,Success,30-04-2024 18:30,Homepage,www.example.com,logout_button,user789,30-04-2024
Login,Authentication,Success,30-04-2024 21:12,Homepage,www.example.com,login_button,user123,30-04-2024
Signup,Authentication,Success,01-05-2024 09:23,Registration Page,www.example.com/register,signup_button,user456,01-05-2024
Click,Interaction,1,02-05-2024 12:56,Product Page,www.example.com/product123,product_image,user789,02-05-2024
Purchase,Transaction,50,03-05-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user123,03-05-2024
Logout,Authentication,Success,04-05-2024 18:30,Homepage,www.example.com,logout_button,user456,04-05-2024
Click,Interaction,1,28-08-2024 13:24,Homepage,www.example.com,navigation_menu,user123,28-08-2024
Purchase,Transaction,120,29-08-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user456,29-08-2024
Logout,Authentication,Success,30-08-2024 18:30,Homepage,www.example.com,logout_button,user789,30-08-2024
Login,Authentication,Success,31-08-2024 21:12,Homepage,www.example.com,login_button,user123,31-08-2024
Signup,Authentication,Success,01-09-2024 09:23,Registration Page,www.example.com/register,signup_button,user456,01-09-2024
Click,Interaction,1,02-09-2024 12:56,Product Page,www.example.com/product123,product_image,user789,02-09-2024
Purchase,Transaction,50,03-09-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user123,03-09-2024
Logout,Authentication,Success,04-09-2024 18:30,Homepage,www.example.com,logout_button,user456,04-09-2024
Click,Interaction,1,28-12-2024 13:24,Homepage,www.example.com,navigation_menu,user123,28-12-2024
Purchase,Transaction,120,29-12-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user456,29-12-2024
Logout,Authentication,Success,30-12-2024 18:30,Homepage,www.example.com,logout_button,user789,30-12-2024
Login,Authentication,Success,01-01-2023 08:12,Homepage,www.example.com,login_button,user123,01-01-2023
Signup,Authentication,Success,02-01-2023 10:23,Registration Page,www.example.com/register,signup_button,user456,02-01-2023
Click,Interaction,1,03-01-2023 14:56,Product Page,www.example.com/product123,product_image,user789,03-01-2023
Purchase,Transaction,50,04-01-2023 16:45,Checkout Page,www.example.com/checkout,checkout_button,user123,04-01-2023
Logout,Authentication,Success,05-01-2023 20:30,Homepage,www.example.com,logout_button,user456,05-01-2023
Click,Interaction,1,10-04-2023 13:24,Homepage,www.example.com,navigation_menu,user123,10-04-2023
Purchase,Transaction,120,11-04-2023 15:45,Checkout Page,www.example.com/checkout,checkout_button,user456,11-04-2023
Logout,Authentication,Success,12-04-2023 18:30,Homepage,www.example.com,logout_button,user789,12-04-2023
Login,Authentication,Success,01-01-2024 08:12,Homepage,www.example.com,login_button,user123,01-01-2024
Signup,Authentication,Success,02-01-2024 10:23,Registration Page,www.example.com/register,signup_button,user456,02-01-2024
Click,Interaction,1,03-01-2024 14:56,Product Page,www.example.com/product123,product_image,user789,03-01-2024
Purchase,Transaction,50,04-01-2024 16:45,Checkout Page,www.example.com/checkout,checkout_button,user123,04-01-2024
Logout,Authentication,Success,05-01-2024 20:30,Homepage,www.example.com,logout_button,user456,05-01-2024
Login,Authentication,Success,01-01-2023 08:12,Homepage,www.example.com,login_button,user123,01-01-2023
Signup,Authentication,Success,02-01-2023 10:23,Registration Page,www.example.com/register,signup_button,user456,02-01-2023
Click,Interaction,1,03-01-2023 14:56,Product Page,www.example.com/product123,product_image,user789,03-01-2023
Purchase,Transaction,50,04-01-2023 16:45,Checkout Page,www.example.com/checkout,checkout_button,user123,04-01-2023
Logout,Authentication,Success,05-01-2023 20:30,Homepage,www.example.com,logout_button,user456,05-01-2023
Review,Interaction,5,25-04-2023 13:45,Product Page,www.example.com/product789,review_button,user123,25-04-2023
Click,Interaction,1,26-04-2023 17:32,Homepage,www.example.com,navigation_menu,user456,26-04-2023
Purchase,Transaction,75,27-04-2023 19:28,Checkout Page,www.example.com/checkout,checkout_button,user789,27-04-2023
Login,Authentication,Success,28-04-2023 21:15,Homepage,www.example.com,login_button,user123,28-04-2023
Login,Authentication,Success,29-04-2023 09:45,Homepage,www.example.com,login_button,user456,29-04-2023
Signup,Authentication,Success,30-04-2023 11:23,Registration Page,www.example.com/register,signup_button,user789,30-04-2023
Click,Interaction,1,01-05-2023 14:32,Product Page,www.example.com/product123,product_image,user123,01-05-2023
Purchase,Transaction,50,02-05-2023 16:58,Checkout Page,www.example.com/checkout,checkout_button,user456,02-05-2023
Logout,Authentication,Success,03-05-2023 19:10,Homepage,www.example.com,logout_button,user789,03-05-2023
Click,Interaction,1,29-12-2023 10:24,Homepage,www.example.com,navigation_menu,user123,29-12-2023
Purchase,Transaction,120,30-12-2023 12:45,Checkout Page,www.example.com/checkout,checkout_button,user456,30-12-2023
Logout,Authentication,Success,31-12-2023 15:30,Homepage,www.example.com,logout_button,user789,31-12-2023
Login,Authentication,Success,31-12-2023 18:12,Homepage,www.example.com,login_button,user123,31-12-2023
Signup,Authentication,Success,01-01-2024 09:23,Registration Page,www.example.com/register,signup_button,user456,01-01-2024
Click,Interaction,1,02-01-2024 12:56,Product Page,www.example.com/product123,product_image,user789,02-01-2024
Purchase,Transaction,50,03-01-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user123,03-01-2024
Logout,Authentication,Success,04-01-2024 18:30,Homepage,www.example.com,logout_button,user456,04-01-2024
Click,Interaction,1,28-04-2024 13:24,Homepage,www.example.com,navigation_menu,user123,28-04-2024
Purchase,Transaction,120,29-04-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user456,29-04-2024
Logout,Authentication,Success,30-04-2024 18:30,Homepage,www.example.com,logout_button,user789,30-04-2024
Login,Authentication,Success,30-04-2024 21:12,Homepage,www.example.com,login_button,user123,30-04-2024
Signup,Authentication,Success,01-05-2024 09:23,Registration Page,www.example.com/register,signup_button,user456,01-05-2024
Click,Interaction,1,02-05-2024 12:56,Product Page,www.example.com/product123,product_image,user789,02-05-2024
Purchase,Transaction,50,03-05-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user123,03-05-2024
Logout,Authentication,Success,04-05-2024 18:30,Homepage,www.example.com,logout_button,user456,04-05-2024
Click,Interaction,1,28-08-2024 13:24,Homepage,www.example.com,navigation_menu,user123,28-08-2024
Purchase,Transaction,120,29-08-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user456,29-08-2024
Logout,Authentication,Success,30-08-2024 18:30,Homepage,www.example.com,logout_button,user789,30-08-2024
Login,Authentication,Success,31-08-2024 21:12,Homepage,www.example.com,login_button,user123,31-08-2024
Signup,Authentication,Success,01-09-2024 09:23,Registration Page,www.example.com/register,signup_button,user456,01-09-2024
Click,Interaction,1,02-09-2024 12:56,Product Page,www.example.com/product123,product_image,user789,02-09-2024
Purchase,Transaction,50,03-09-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user123,03-09-2024
Logout,Authentication,Success,04-09-2024 18:30,Homepage,www.example.com,logout_button,user456,04-09-2024
Click,Interaction,1,28-12-2024 13:24,Homepage,www.example.com,navigation_menu,user123,28-12-2024
Purchase,Transaction,120,29-12-2024 15:45,Checkout Page,www.example.com/checkout,checkout_button,user456,29-12-2024
Logout,Authentication,Success,30-12-2024 18:30,Homepage,www.example.com,logout_button,user789,30-12-2024
Login,Authentication,Success,01-01-2023 08:12,Homepage,www.example.com,login_button,user123,01-01-2023
Signup,Authentication,Success,02-01-2023 10:23,Registration Page,www.example.com/register,signup_button,user456,02-01-2023
Click,Interaction,1,03-01-2023 14:56,Product Page,www.example.com/product123,product_image,user789,03-01-2023
Purchase,Transaction,50,04-01-2023 16:45,Checkout Page,www.example.com/checkout,checkout_button,user123,04-01-2023
Logout,Authentication,Success,05-01-2023 20:30,Homepage,www.example.com,logout_button,user456,05-01-2023
Click,Interaction,1,10-04-2023 13:24,Homepage,www.example.com,navigation_menu,user123,10-04-2023
Purchase,Transaction,120,11-04-2023 15:45,Checkout Page,www.example.com/checkout,checkout_button,user456,11-04-2023
Logout,Authentication,Success,12-04-2023 18:30,Homepage,www.example.com,logout_button,user789,12-04-2023
